;Year of project;Organization type;Role in organization;Size of organization;Size of IT department;Customer organization type;Estimated duration;Actual duration;Development type;Application domain;Object points;Other sizing method;Estimated effort;Actual effort;Contract maturity;Government policy impact;Economic instability impact;Organization management structure clarity;Developer hiring policy;Developer incentives policy;Developer training;Development team management;Top management support;Top management opinion of previous system;Clarity of manual system;User resistance;User computer experience;Users stability;Requirment stability;Requirements flexibility;Project manager experience;Consultant availability;DBMS expert availability;Precedentedness;Software tool experience;Programmers experience in programming language;Programmers capability;Analysts capability;Team selection;Team size;Dedicated team members;Daily working hours;Team contracts;Team continuity;Team cohesion;Income satisfaction;Schedule quality;Development environment adequacy;Tool availability;Methodology;Multiple programing languages;Programming language used;DBMS used;Technical stability;Open source software;Level of outsourcing;Degree of software reuse;Degree of risk management;Use of standards;Process reengineering;Requirement accuracy level;Technical documentation;Comments within the code;User manual;Required reusability;Performance requirements;Product complexity;Security requirements;Reliability requirements;Specified H/W
0;2015;1;1;16;7;13;2;3;1;7;100;2;2112;3168;8;4;1;2;1;8;3;4;4;1;2;1,75;2;1,888888889;2,587301587;4,555555556;2;3;0;2;2;2;2;1;3;6;6;8;1;16,66666667;2;3;2;1;7;2;1;1;1;1;1;3;5;3;3;1,888888889;;1;3;1;1;1;2;2;3;1
1;2016;5;1;2;1;2;2;3;1;3;19;2;1056;1584;4;4;3;1;2;6;3;7;4;1;4;2,5;2;1,888888889;2,904761905;4,555555556;1;3;0;2;5;2;2;2;3;3;3;8;1;0;6;4;2;1;8;1;2;5;1;1;1;3;5;3;3;4,555555556;2;2;2;1;4;1;1;4;2;1
2;2008;5;3;2;2;3;3;5;1;3;64;3;3168;5280;4;5;2;3;4;6;3;6;1;0;6;2;2;1,888888889;1;1,888888889;2;2;1;4;1;1;2;2;2;6;6;8;1;0;5;2;1;1;8;3;1;3;1;1;0;3;5;2;3;1,444444444;3;2;2;2;3;4;3;5;2;3
3;2009;4;2;3;2;4;6;6;1;7;246;5;5280;5280;2;4;1;1;1;4;3;6;4;1;3;3,25;2;5;2,507936508;1;1;1;1;4;1;1;4;4;2;6;4;8;2;0;1;2;1;1;4;2;1;4;2;2;0;1;3;1;2;1,444444444;1;1;3;4;3;2;4;3;4;2
4;2016;4;2;3;2;4;12;24;1;7;420;5;19008;38016;3;4;3;1;2;3;3;2;4;1;3;2,75;2;1,888888889;4,650793651;1;1;2;1;4;2;1;4;4;3;9;9;8;1;44,44444444;2;3;1;1;4;2;3;24;2;1;0;3;3;1;3;1;1;1;3;4;3;4;3;3;4;2
5;2012;4;2;3;2;4;6;8;4;7;177;5;7392;9856;3;4;2;1;2;3;3;2;4;0;2;1,75;3;4,555555556;4,412698413;1;1;3;1;4;1;1;4;4;3;7;7;8;1;14,28571429;1;2;1;1;4;2;1;4;3;1;0;3;3;1;3;1;1;1;3;4;3;4;3;3;4;2
6;2016;4;1;3;1;4;6;9;1;7;54;5;5280;7920;3;4;1;1;2;4;2;2;4;0;4;3,5;1;5;3,380952381;1;2;1;1;4;2;2;4;4;3;5;5;8;2;0;1;2;1;1;4;2;1;6;3;1;0;1;5;1;3;1;1;1;2;4;3;4;4;3;4;2
7;2018;4;4;3;2;4;4;4;1;7;71;5;4400;4400;3;5;2;1;2;4;2;2;4;0;3;4;2;1,888888889;2,666666667;1;2;2;0;4;1;1;4;4;3;5;5;10;1;0;1;2;1;1;4;3;3;25;3;3;0;3;2;1;3;1;1;1;3;2;3;4;4;4;4;2
8;2018;4;4;3;1;4;6;6;1;3;14;5;4224;4224;3;5;1;1;2;3;3;2;4;0;3;2,25;2;1,888888889;1,714285714;1,888888889;1;1;1;3;1;1;4;4;3;4;4;8;1;0;1;2;1;1;8;2;1;2;3;1;0;3;3;1;3;1,444444444;1;1;2;4;1;4;4;3;4;2
9;2015;5;2;1;1;14;12;45;1;2;335;4;6468;24255;4;5;2;1;3;4;1;6;5;1;3;3,75;1;4,555555556;2,507936508;4,555555556;1;3;1;2;3;3;1;1;3;4;3;7;1;0;1;1;3;1;8;3;1;4;2;1;0;3;5;3;3;1,444444444;;4;3;4;3;1;1;2;2;2
